repository;language;architecture;community;continuous_integration;documentation;history;issues;license;size;unit_test;stars;scorebased_org;randomforest_org;scorebased_utl;randomforest_utl
ubernostrum/django-flashpolicies;Python;0.363636;1;1;0.407609;0.0;0.0;1;545;0.527027;2;0;0;1;1
haveTryTwo/mystl;C++;0.96875;0;0;0.069959;0.0;0.0;0;9585;0.0;3;0;0;0;0
yangqing0314/CircelProgressTime;Java;0.6;1;0;0.4941;0.0;0.0;0;345;0.0;1;0;0;0;0
ftes/de.ftes.uon.seng2200.pa2;Java;1.0;1;0;0.214629;0.0;0.0;0;838;0.234356;0;0;0;1;0
kmels/opengl-basics;C;1.0;1;0;0.137529;0.0;0.0;0;419;0.0;1;0;0;0;0
springprojects/spring-boot-showcase;Java;0.86;1;0;0.209754;0.0;0.0;1;2275;0.158587;1;0;0;1;1
tgibbons-students-css/VogellaDatabaseAsg10Start;Java;0.571429;3;0;0.095238;0.0;0.0;0;606;0.0;0;0;0;1;0
patcon/city-of-toronto-agendas;Ruby;0.0;1;0;0.0;0.0;0.0;0;1;0.0;0;0;0;0;0
tcz001/marsrover;Ruby;0.818182;1;0;0.049618;0.0;0.0;0;249;0.445783;0;0;0;1;0
prachiyshah/CoreNettyProject;Java;0.983871;1;0;0.252204;0.0;0.0;1;20861;0.004533;0;0;0;1;0
ShreyasRaj/IndiaPostPackageServiceRepo;Java;0.9375;1;0;0.018784;0.0;0.0;0;1100;0.0;0;0;0;0;0
larryli/PuTTY;C;0.873016;0;0;0.194461;0.0;0.0;1;93161;0.83159;67;0;0;1;0
petercrlane/uhferret-gem;C++;1.0;0;0;0.126205;0.0;0.0;1;10060;0.012951;2;0;0;1;1
nicksummers/pyprojects;Python;0.0;1;0;0.0;0.0;0.0;0;2;0.0;0;0;0;0;0
awslabs/eb-docker-nginx-proxy;PHP;0.0;0;0;0.0;0.0;0.0;1;79;0.0;27;0;0;0;0
ivadelic/ruby_fundamentals_1;Ruby;0.25;1;0;0.2;0.0;0.0;0;32;0.0;0;0;0;0;0
gleicon/locust-swarm;Python;1.0;1;0;0.011561;0.0;0.0;0;203;0.0;16;0;0;0;0
